,Date,Number of NaNs
865,2003-06-14,4
866,2003-06-15,71
867,2003-06-16,48
868,2003-06-17,53
869,2003-06-18,114
870,2003-06-19,119
871,2003-06-20,2
872,2003-06-21,2
873,2003-06-22,0
874,2003-06-23,44
875,2003-06-24,28
876,2003-06-25,34
877,2003-06-26,95
878,2003-06-27,50
879,2003-06-28,100
880,2003-06-29,32
881,2003-06-30,103
882,2003-07-01,98
883,2003-07-02,5
884,2003-07-03,108
885,2003-07-04,130
886,2003-07-05,93
887,2003-07-06,4
888,2003-07-07,31
889,2003-07-08,3
890,2003-07-09,136
891,2003-07-10,11
892,2003-07-11,35
893,2003-07-12,110
894,2003-07-13,0
895,2003-07-14,35
896,2003-07-15,10
897,2003-07-16,2
898,2003-07-17,78
899,2003-07-18,0
900,2003-07-19,0
901,2003-07-20,0
902,2003-07-21,27
903,2003-07-22,0
904,2003-07-23,12
905,2003-07-24,137
906,2003-07-25,38
907,2003-07-26,32
908,2003-07-27,6
909,2003-07-28,65
910,2003-07-29,66
911,2003-07-30,3
912,2003-07-31,99
913,2003-08-01,94
914,2003-08-02,0
915,2003-08-03,1
916,2003-08-04,0
917,2003-08-05,1
918,2003-08-06,10
919,2003-08-07,0
920,2003-08-08,8
921,2003-08-09,52
922,2003-08-10,3
923,2003-08-11,0
924,2003-08-12,0
925,2003-08-13,0
926,2003-08-14,81
927,2003-08-15,137
928,2003-08-16,42
929,2003-08-17,53
930,2003-08-18,57
931,2003-08-19,14
932,2003-08-20,13
933,2003-08-21,110
934,2003-08-22,22
935,2003-08-23,0
936,2003-08-24,12
937,2003-08-25,41
938,2003-08-26,0
939,2003-08-27,0
940,2003-08-28,10
941,2003-08-29,140
942,2003-08-30,25
943,2003-08-31,92
944,2003-09-01,91
945,2003-09-02,52
946,2003-09-03,9
947,2003-09-04,0
948,2003-09-05,0
949,2003-09-06,139
950,2003-09-07,93
951,2003-09-08,140
952,2003-09-09,140
953,2003-09-10,65
954,2003-09-11,122
955,2003-09-12,106
956,2003-09-13,47
957,2003-09-14,16
958,2003-09-15,0
959,2003-09-16,7
960,2003-09-17,0
961,2003-09-18,0
962,2003-09-19,0
963,2003-09-20,0
964,2003-09-21,0
965,2003-09-22,1
966,2003-09-23,140
967,2003-09-24,89
968,2003-09-25,10
969,2003-09-26,0
970,2003-09-27,0
971,2003-09-28,31
972,2003-09-29,56
973,2003-09-30,85
974,2003-10-01,139
975,2003-10-02,72
976,2003-10-03,129
977,2003-10-04,110
978,2003-10-05,137
979,2003-10-06,56
980,2003-10-07,132
981,2003-10-08,78
982,2003-10-09,102
983,2003-10-10,0
984,2003-10-11,7
985,2003-10-12,6
986,2003-10-13,34
987,2003-10-14,88
988,2003-10-15,3
989,2003-10-16,0
990,2003-10-17,9
991,2003-10-18,31
992,2003-10-19,51
993,2003-10-20,138
994,2003-10-21,124
